year,dist,I,p
2008,500,NA,NA
2008,1000,0.3119559048516139,4.453617013205039e-34
2008,1500,0.34561792811683767,3.653192945844602e-82
2008,2000,0.3035564076829386,1.7381843650110669e-155
2008,2500,0.29602147045145233,2.0328542575546913e-171
2008,3000,0.2624973664705611,2.8002301866245024e-247
2015,500,NA,NA
2015,1000,0.33171775811527243,3.029737661729767e-38
2015,1500,0.37966718615777134,1.2763675036814428e-98
2015,2000,0.3534286612290672,1.0250048351457211e-209
2015,2500,0.34278232326962166,8.391441397042307e-229
2015,3000,0.3105708121490448,0
2021,500,NA,NA
2021,1000,0.23798014573531284,1.1028907750624192e-20
2021,1500,0.25238061077327983,6.688563466140603e-45
2021,2000,0.21414393810196783,1.0140847266248406e-78
2021,2500,0.20995878053735886,1.338525350131329e-87
2021,3000,0.17904955572127249,1.1025598152039111e-116
