spec,year,ring,term,estimate,se,p,ci_lo,ci_hi
Main spec (Table 3),2015,0–100 m,main:0–100 m:2015,0.0620796774100485,0.054984732347868,0.267276276934981,-0.0499205572905532,0.17407991211065
Main spec (Table 3),2021,0–100 m,main:0–100 m:2021,-0.0376710235930858,0.0440083859991787,0.39836426625903,-0.127313172426676,0.0519711252405039
Main spec (Table 3),2015,100–400 m,main:100–400 m:2015,0.0434405232990489,0.0580243554306533,0.459529864184292,-0.074751221010429,0.161632267608527
Main spec (Table 3),2021,100–400 m,main:100–400 m:2021,0.00769831017184139,0.0384895171176313,0.842737979087145,-0.0707022706187401,0.0860988909624229
Main spec (Table 3),2015,400–800 m,main:400–800 m:2015,0.0585585009522851,0.0432865376384261,0.185597818110426,-0.0296132908863657,0.146730292790936
Main spec (Table 3),2021,400–800 m,main:400–800 m:2021,0.017610681698821,0.0380867437294466,0.646935020687763,-0.0599694765475087,0.0951908399451507
Euclidean rings (TWFE),2015,0–100 m,avd::2015:euc_0_100,0.06967916989632714,0.05375181966841215,0.1948677530469607,-0.03567439665376068,0.17503273644641495
Euclidean rings (TWFE),2021,0–100 m,avd::2021:euc_0_100,-0.0116411342092678,0.04839057819052164,0.8098914022838855,-0.10648666746269024,0.08320439904415461
Euclidean rings (TWFE),2015,100–400 m,avd::2015:euc_100_400,0.0327558348568787,0.05239428236247993,0.5318532097445637,-0.06993695857358197,0.1354486282873394
Euclidean rings (TWFE),2021,100–400 m,avd::2021:euc_100_400,-3.673023696433805e-4,0.03468560335153656,0.991550978376526,-0.06835108493865504,0.06761648019936826
Euclidean rings (TWFE),2015,400–800 m,avd::2015:euc_400_800,0.06615709588767554,0.04286104511835482,0.12270343962002456,-0.0178505525442999,0.150164744319651
Euclidean rings (TWFE),2021,400–800 m,avd::2021:euc_400_800,0.01504041268842251,0.03691627197678498,0.6836998353711519,-0.05731548038607605,0.08739630576292108
Donut rings (TWFE),2015,100–400 m,avd::2015:walk_100_400,0.04390081343617438,0.05768416900446715,0.446624339199324,-0.06916015781258124,0.15696178468493
Donut rings (TWFE),2021,100–400 m,avd::2021:walk_100_400,0.00872978160904743,0.03836728124434928,0.8200101425077524,-0.06647008962987716,0.08392965284797202
Donut rings (TWFE),2015,400–800 m,avd::2015:walk_400_800,0.05836123509452866,0.04250117560678851,0.16970026576633002,-0.02494106909477682,0.14166353928383413
Donut rings (TWFE),2021,400–800 m,avd::2021:walk_400_800,0.01578354666571679,0.03721218373016938,0.6714564436195309,-0.05715233344541519,0.08871942677684878
Borough×Year FE,2015,0–100 m,y2015:walk_0_100,0.02608592463951606,0.03422066022743296,0.44588942473586546,-0.04098656940625254,0.09315841868528468
Borough×Year FE,2015,100–400 m,y2015:walk_100_400,0.02741783922562383,0.04504783380355656,0.5427641791030813,-0.06087591502934702,0.11571159348059468
Borough×Year FE,2015,400–800 m,y2015:walk_400_800,0.03164573589554183,0.02851724118340035,0.2671260048467935,-0.02424805682392286,0.08753952861500652
Borough×Year FE,2021,0–100 m,walk_0_100:y2021,-0.09259931368889011,0.03575247924813264,0.00959728717312615,-0.16267417301523013,-0.02252445436255014
Borough×Year FE,2021,100–400 m,walk_100_400:y2021,-0.04191259603514362,0.03260014009531034,0.19856281877638257,-0.10580887062195188,0.02198367855166465
Borough×Year FE,2021,400–800 m,walk_400_800:y2021,-0.00766557577624842,0.03618179563315898,0.8322140893639769,-0.07858189521724002,0.06325074366474318
1km Grid×Year FE,2015,0–100 m,y2015:walk_0_100,0.02124823761434683,0.01831523893428314,0.2459918925982657,-0.01464963069684813,0.0571461059255418
1km Grid×Year FE,2015,100–400 m,y2015:walk_100_400,-0.01883373355799609,0.02367381216235967,0.42629284508177023,-0.06523440539622105,0.02756693828022887
1km Grid×Year FE,2015,400–800 m,y2015:walk_400_800,-0.02571488895452073,0.01078722290203705,0.0171335868821112,-0.04685784584251336,-0.0045719320665281
1km Grid×Year FE,2021,0–100 m,walk_0_100:y2021,-0.07008050195397258,0.05018141350677164,0.16255104011506966,-0.168436072427245,0.02827506851929982
1km Grid×Year FE,2021,100–400 m,walk_100_400:y2021,-0.05620552386697003,0.02933857095427631,0.05539624522707079,-0.1137091229373516,0.00129807520341153
1km Grid×Year FE,2021,400–800 m,walk_400_800:y2021,-0.04515183430197107,0.01835966970927911,0.0139210379159765,-0.08113678693215812,-0.00916688167178401
Conley 2km (TWFE),2015,0–100 m,avd::2015:walk_0_100,0.06207967850403,0.05622587720540063,0.2695444579203526,-0.04812304081855523,0.17228239782661522
Conley 2km (TWFE),2021,0–100 m,avd::2021:walk_0_100,-0.03767102264584723,0.06794558940837771,0.5792851080008559,-0.17084437788626755,0.09550233259457308
Conley 2km (TWFE),2015,100–400 m,avd::2015:walk_100_400,0.04344052345520062,0.0651360682407525,0.5048234623921415,-0.0842261702966743,0.17110721720707556
Conley 2km (TWFE),2021,100–400 m,avd::2021:walk_100_400,0.00769831021361964,0.04410649692235288,0.8614417704661299,-0.078750423754192,0.09414704418143127
Conley 2km (TWFE),2015,400–800 m,avd::2015:walk_400_800,0.05855850096439875,0.04618334581327231,0.20481327314398473,-0.03196085682961498,0.14907785875841248
Conley 2km (TWFE),2021,400–800 m,avd::2021:walk_400_800,0.01761068170484825,0.04096132416877408,0.6672433721853992,-0.06267351366594894,0.09789487707564544
