Balanced Panel,,,,,,,,,,
avd,0-100_n,0-100_share,100-400_n,100-400_share,400-800_n,400-800_share,>800_n,>800_share,,
2008,278,0.004 ,2872,0.037 ,5452,0.070 ,69496,0.890 ,,
2015,278,0.004 ,2872,0.037 ,5452,0.070 ,69496,0.890 ,,
2021,278,0.004 ,2872,0.037 ,5452,0.070 ,69496,0.890 ,,
Unbalanced Panel,,,,,,,,,,
avd,0-100_n,0-100_share,100-400_n,100-400_share,400-800_n,400-800_share,>800_n,>800_share,,
2008,290,0.004 ,2994,0.037 ,5709,0.071 ,70941,0.887 ,,
2015,330,0.004 ,3535,0.039 ,6688,0.075 ,79019,0.882 ,,
2021,318,0.004 ,3413,0.039 ,6435,0.073 ,77604,0.884 ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
